lat,lng
-12.120612018164671,-77.01908200979233
-12.158959814584314,-76.97998613119125
-12.106982822490913,-76.94004267454147
-12.114728930353849,-76.99144452810287
-12.180649423544772,-77.01253741979599
-12.077202383589835,-77.05116122961044
-12.09231439114182,-76.98814541101456
-12.085759602223767,-77.03451007604599
-12.095992271544013,-76.95185512304306
-12.12507312740511,-77.02303022146225
-12.116954415531744,-77.01307386159897
-12.153099539263927,-76.99170738458633
-12.201603963369031,-76.92317694425583
-12.066092700748449,-76.94445222616196
-12.10381442104174,-76.96368902921677
-12.103697823868409,-76.970394551754
-12.113253722639115,-77.04813033342361
-12.095011334455357,-77.03836172819138
-12.124910905250914,-76.99973791837692
-12.216244512785373,-76.91714733839035
-12.128657223124414,-77.02976256608963
-12.121641114955366,-77.02897936105728
-12.081612798407086,-77.02203780412674
-12.02587174539206,-77.03464418649673
-12.103527997550735,-77.00143307447433
-12.086071372926362,-76.97328060865402
-12.079972833816988,-77.07574099302292
-12.110125876728489,-76.98005050420761
-12.101692859431374,-76.97081297636032
-12.131868714833296,-77.03062623739243
-12.024343308532984,-77.05241113901138
-12.064452736158366,-76.94089561700821
-12.110574522373689,-76.98437422513962
-11.990362836670883,-77.06342965364456
-12.085701303637101,-77.03442424535751
-12.100988206949076,-76.97157472372055
-12.077050300320273,-77.08406656980515
-12.156176690751359,-76.97207361459732
-12.096342063064007,-77.00237721204758
-12.06980099780457,-77.09154456853867
-11.937815532316627,-77.06756561994553
-12.174005919386154,-76.96783035993576
-12.076165682635668,-77.0446327328682
-12.110237404459504,-77.04732567071915
-12.004521789066949,-77.0952782034874
-12.14369825848393,-76.98520570993423
-12.08102474309812,-77.1033838391304
-12.075795613346408,-77.05272763967514
-12.166267415686683,-76.99221700429916
-12.077078182253025,-77.08404511213303
-12.157416169398282,-76.98096245527267
-12.166087450484376,-76.9625785946846
-12.118021533139832,-76.98325842618942
-12.095999875707498,-77.00001686811447
-12.085916754935646,-76.90723389387131
-12.071420684625387,-77.00467854738235
-12.069408116024867,-77.0993122458458
-12.10411351813854,-76.97282463312149
-12.127711772131981,-76.98772698640823
-12.101561053931086,-76.97176784276962
-12.083450471247609,-76.9809678196907
-12.05654440614122,-77.10173696279526
-12.052803157710038,-77.09244579076767
-12.078811931526012,-77.07539767026901
-12.091711127505896,-76.95277780294418
-12.044692050000158,-77.04117804765701
-12.07695144619506,-77.03006833791733
-12.101031297208785,-77.00643807649612
-11.990304538084224,-77.06334382295609
-11.940682301947838,-77.06980258226395
-12.027785459867367,-77.06783920526505
-12.063116938107392,-77.10884481668472
-12.089581961732044,-77.01939851045609
-12.075128981681495,-77.1162959933281
-12.147246868107011,-77.01793402433395
-12.060186800447191,-77.0498737692833
-12.087070053063137,-76.97623640298843
-12.10164216500818,-76.97078615427017
-12.126616772591149,-77.01371759176254
-12.104425288841135,-76.97298556566238
-12.123103649064305,-77.01762288808823
-12.090976058369684,-77.03638762235641
-12.121930073167526,-77.00547248125076
-12.090654148782448,-77.0526310801506
-12.130061458646686,-77.0177087187767
-12.114087645900533,-77.03569024801254
-12.086416095004033,-76.9677284359932
-12.187523587328904,-76.9784465432167
-12.109393342313446,-77.03794330358505
-12.122733579775037,-77.02697843313217
-12.18107525669955,-77.01240867376328
-12.102326539721204,-77.05900400876999
-12.054351872338394,-77.02341109514236
-12.185954594931275,-76.95896834135056
-12.068079922137379,-76.94714516401291
-12.120969413848137,-77.02306240797043
-12.151330303894703,-77.00539201498032
-12.052253123218463,-77.10615187883377
-12.078287244246035,-77.08134144544601
-11.955576323480116,-77.06403583288193
-12.111489556712215,-77.03693479299545
-12.089267656308287,-77.00797230005264
-12.092060919025876,-77.06283956766129
-12.108878793918095,-77.0396438241005
-12.090261267002752,-77.00539737939835
-12.008204738911466,-77.0610961318016
-12.06506360395776,-77.05271154642105
-12.128649618960942,-77.02985912561417
-12.08561005367536,-77.03475147485733
-12.146025132508207,-77.01695770025253
-12.094788278993327,-76.95255249738693
-12.100278485024454,-76.9450369477272
-11.94931049277423,-77.0540902018547
-12.105426503699071,-77.03991740942001
-12.102536921577432,-77.04359740018845
-12.04279607857297,-76.93062275648117
-12.027777855703881,-76.92910462617874
-12.078877834276163,-76.98955625295639
-12.123608058575009,-77.00807958841324
-12.041891183119084,-76.93126112222672
-12.095054424715066,-76.9953927397728
-12.122796947804027,-77.03165084123611
-12.099104909127682,-77.03637152910233
-12.110024487882121,-77.00057476758957
-11.949138131735396,-77.05148845911026
-12.172748697691112,-77.01236575841904
-12.164959499568468,-76.99298948049545
-12.10724389877032,-77.03704208135605
-12.12987135455974,-77.02242940664291
-12.144582876168549,-77.02297121286392
-12.042213092706326,-77.05642908811569
-12.091406960966772,-77.03927904367447
-12.072492871675784,-76.95905417203903
-12.157656967908416,-76.95858210325241
-12.1651572078189,-76.96053475141525
-12.102815740904951,-76.98959916830063
-12.142788293587735,-76.98790401220322
-12.073420579620098,-77.05617159605026
-12.119364935354277,-76.97692841291428
-12.172021232718386,-77.01315969228745
-12.075922349404372,-77.00298339128494
-11.932363347102886,-77.04470783472061
-12.056681281083833,-77.10174769163132
-12.068566588599971,-77.11446136236191
-12.007862551554958,-77.05801159143448
-12.041716287359087,-76.93557411432266
-12.084859776212198,-77.05139726400375
-12.175688974235946,-76.99427157640457
-12.025162023467452,-77.0516386628151
-11.981166868304804,-77.06556469202042
-12.154199608247076,-76.9708988070488
-11.950182436853048,-77.07963019609451
-12.132748263075591,-77.02573388814926
-12.055720621764443,-77.09757417440414
-12.05141159579356,-76.94995075464249
-12.07731391132085,-77.07466810941696
-12.10661021848049,-77.05398827791214
-12.12335458645908,-77.02968746423721
-12.130976492985212,-77.02756851911545
-12.103573622531599,-77.03144699335098
-12.120520768202944,-77.04134970903397
-12.147046625135424,-76.99787110090256
-12.11004730037255,-77.0488116145134
-12.169658872597886,-76.99631541967392
-12.103358171233054,-77.03695625066757
-12.088182795652095,-77.05101102590561
-12.103822025205211,-76.9636783003807
