lat,lng,orders
-12.013379069899,-77.005411941644,1
-12.040403417679,-76.93251284785,1
-12.1189837,-77.0230146,1
-12.056561,-77.101496635582,1
-11.936638066273,-77.064938250552,2
-12.123269501894,-77.028280023314,1
-11.9022568,-77.036842,1
-12.12028943671,-76.999485294478,1
-12.11291,-76.99145,1
-12.088753,-77.030593,1
-12.119948461853,-77.028392360713,1
-12.153937965517,-76.982791635582,1
-12.072839,-76.942442,1
-12.078559250311,-77.087659099083,2
-12.10738305,-77.03736963,1
-12.116595,-77.02448,1
-12.116627406393,-77.01978565698,2
-12.1185397,-76.9974495,1
-12.048443849162,-77.112211188523,1
-12.050545,-77.096402,1
-12.120507,-77.003567,1
-11.990103,-77.067203,1
-12.041621000392,-76.931420728836,2
-12.110979,-77.037263,1
-11.940151923225,-77.069267135563,4
-12.101473,-76.97089,1
-12.109279760151,-77.029557727026,1
-11.991048,-77.072245,1
-12.130407,-77.008964,1
-11.988832,-77.057559,2
-12.007135,-77.058,1
-12.068139,-77.097867,1
-11.936609145096,-77.064779959759,1
-12.007507,-77.090666,1
-12.099551,-77.036635,1
-12.07754,-77.087379,1
-12.111019204195,-76.985446345984,1
-12.119972,-77.026372,1
-12.112241,-77.046824,1
-12.1167555,-77.0367351,1
-12.0158138,-77.0002279,1
-12.0442308,-76.9795085,1
-12.134807,-77.025869,1
-12.0681237,-77.0978753,1
-12.1403492,-77.0225637,1
-12.130144688839,-77.017693898148,1
-12.137255513842,-77.022420728836,1
-12.024937,-76.999047,1
-12.125922,-77.017798,3
-12.1172274,-77.0175297,2
-12.154205,-76.982943,1
-12.090371266111,-77.047718218709,2
-12.085188170467,-76.975218537785,3
-11.940393109901,-77.069844763893,1
-11.9022177,-77.0384518,1
-12.10352483,-77.00151807,3
-12.141392,-77.0214156,1
-12.122561,-76.985728,1
-12.101033617269,-77.037524796867,1
-12.122694,-76.993456,1
-12.0888804,-76.9965316,1
-12.114128,-77.03564,1
-12.020271,-77.085211,1
-12.1280583,-76.9886478,1
-12.11074586872,-77.037373531976,2
-12.088965,-77.007939,1
-12.0774319,-77.0840568,1
-12.118481,-77.032573,1
-11.9911145,-77.0034287,1
-12.082081,-76.9936,1
-12.016343243784,-76.889111099999,1
-12.120284796037,-77.035603627433,1
-12.027313526714,-77.007218033682,1
-12.006649043753,-77.058515632058,1
-12.1079921,-77.0372176,2
-12.076332495745,-77.082875701039,1
-12.09992915005,-77.036580116568,1
-11.99628791467,-77.006431234393,1
-12.007801691921,-77.010164200646,1
-12.00700176472,-77.058512212303,1
-12.114037,-77.032151,1
-12.085185434763,-76.97521975355,1
-12.082542492039,-76.928181566893,1
-12.09717,-77.059937,1
-12.117813,-77.0355941,1
-12.082148,-77.076262,1
-12.121715157,-77.004877902,1
-12.092609,-77.047212,1
-12.099387,-77.037063,1
-12.085179,-76.974655,1
-12.108958,-76.970446,1
-12.1052839,-76.9905732,3
-12.08530708,-77.040236356,2
-12.047285,-77.031651,1
-11.974673,-76.9985524,1
-11.9673125,-77.0899375,1
-12.163755726927,-76.980437580916,1
-12.02904,-77.010803,1
-12.041797,-76.931312,2
-12.1060484,-77.0387761,1
-12.18201,-77.01141,1
-12.09587,-77.059911,1
-12.11929262243,-77.028537647239,1
-12.0565365,-77.0367056,1
-12.1187696,-77.0413183,1
-12.146845,-76.981326,2
-11.9946651,-77.0933909,1
-12.131605,-77.030856,2
-11.990228294033,-77.064750122565,1
-11.937944,-77.073209,1
-12.076474194993,-77.05067951088,1
-12.112995,-77.045805,1
-12.171523695422,-77.021895682356,1
-12.076190902921,-77.084185042992,1
-12.077418,-76.965044,1
-12.094146825001,-77.034037165891,1
-12.0892242,-77.0303366,1
-12.126102617544,-77.017839747991,1
-11.940403450845,-77.069935787137,1
-11.9001139,-77.0556466,1
-12.116008,-76.999357,1
-12.11596817851,-77.019323986506,1
-12.129955535074,-76.982583924223,1
-12.0759437,-77.0033938,1
-12.188556748041,-77.006250991147,1
-12.089922,-77.052074,1
-12.082174,-77.082642,1
-12.167595,-77.025402,1
-12.074506998754,-76.955747658319,1
-12.0712998,-77.0491492,1
-12.095624,-76.995143,1
-12.056885,-76.970732,2
-12.051781,-77.029082,1
-12.0867676421,-76.976680088291,1
-12.092008,-77.062907,1
-12.093134,-77.061923,1
-12.113051,-77.045824,1
-12.179941260072,-76.94237920135,1
-12.129628,-77.023951,2
-12.117002312539,-77.036769642879,1
-12.08519,-77.039178,1
-12.1119536,-77.0384547,1
-12.0734992,-77.0508773,1
-12.040886754303,-76.932206274799,1
-12.114003987967,-77.044848125889,1
-12.072935344163,-76.954695659662,2
-12.071411337,-76.953610002,2
-12.073821,-76.960928,1
-12.126701788519,-77.013851326389,1
-12.172068,-77.013004,1
-12.125658,-77.029945,1
-12.047808514509,-77.053623373016,1
